h3_index,latitude,longitude,bike_amenities,car_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,needs_amenities,other_amenities,pet_amenity,public_transport,shops_amenities,social_amenities,study_amenity,water_amenities,work_amenity,parking_area,traffic_count,number_stations,number_plugs,charger_rating,highway,voltage,has_charging_station,distance_to_center
88be0811a1fffff,-34.08477498887456,150.5433386034852,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,444.42147084026004,0.0,0.0,0.0,nothing,0.0,0.0,0,66.80472266751319
88be0811a7fffff,-34.07637336230237,150.53912008851563,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,66.83823511612431
88be0811cdfffff,-34.12678198572363,150.56444426198757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,nothing,0.0,330000.0,1,66.86614303786132
88be081205fffff,-34.21802650641109,150.60005031935586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,1.0,0.0,0,69.08125487175099
88be081207fffff,-34.21686160271438,150.5891475387218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,66000.0,0,69.84108408502614
88be081225fffff,-34.19515303704531,150.60915880603423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9953.108326926991,0.0,0.0,0.0,nothing,6.0,0.0,0,66.9760806268927
88be081227fffff,-34.193989120975445,150.59825872681037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,67.7519277929377
88be081229fffff,-34.21079009902749,150.6067210871935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,4.0,66000.0,0,68.12152554513162
88be08122bfffff,-34.20962583976902,150.5958190470459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,1.0,66000.0,0,68.88449081434659
88be08122dfffff,-34.20355326611159,150.61339076891753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,1.0,66000.0,0,67.16329464631855
88be081231fffff,-34.207294485489506,150.57401640889853,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,5.0,10.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,2553.7813347941747,0.0,0.0,0.0,nothing,21.0,0.0,0,70.42929675907165
88be081233fffff,-34.20612739081801,150.5631158124136,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3899.1419289900196,0.0,0.0,0.0,nothing,0.0,0.0,0,71.210726446179
88be081235fffff,-34.20005958570022,150.58068831101457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,1.0,0.0,0,69.48073466582929
88be081237fffff,-34.19889313577895,150.56978845355076,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2777.8893531515528,0.0,0.0,0.0,nothing,5.0,0.0,0,70.26541039524636
88be081239fffff,-34.2156957535178,150.578245239106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,2.0,0.0,0,70.60725619309316
88be08123bfffff,-34.214528958996155,150.56734342126617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,1.0,0.0,0,71.37956618993626
88be081267fffff,-34.21195341279914,150.6176236070469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,67.36513876948909
88be08128dfffff,-34.218255015631804,150.5279645785428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,nothing,0.0,330000.0,1,74.67392213043352
88be0812adfffff,-34.195388119111904,150.53709177726893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,nothing,0.0,330000.0,1,72.65324829497068
88be0812e1fffff,-34.21219253467816,150.54554123394357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.77468493273847,0.0,0.0,0.0,nothing,0.0,0.0,0,72.94181547101485
88be0812e3fffff,-34.21102290523259,150.53464086597498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,nothing,0.0,330000.0,1,73.73137974096178
88be0812e7fffff,-34.20379036728708,150.54131606840667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,nothing,0.0,330000.0,1,72.79066648016139
88be081301fffff,-34.174601689417855,150.64005863636908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,11000.0,0,63.34672217056344
88be081303fffff,-34.17344064859618,150.6291603016333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,11000.0,0,64.12647770063631
88be081309fffff,-34.183000958589496,150.64429285195706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,11000.0,0,63.528679571095076
88be08130bfffff,-34.181840219316456,150.63339329825348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,11000.0,0,64.29826608970167
88be081311fffff,-34.17951590673843,150.61159562407005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2950.606840936204,0.0,0.0,0.0,nothing,9.0,0.0,0,65.8571702846874
88be081315fffff,-34.172278663400995,150.61826244458987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12431.394243238246,0.0,0.0,0.0,nothing,8.0,11000.0,0,64.91266244792799
88be081317fffff,-34.171115734006115,150.60736506599585,0.0,10.0,0.0,3.0,0.0,0.0,1.0,1.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33418.866551380015,0.0,0.0,0.0,nothing,20.0,0.0,0,65.70504481637268
88be08131bfffff,-34.186752726101446,150.60492771817167,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3907.872696086589,0.0,0.0,0.0,nothing,6.0,0.0,0,66.80361931375451
88be081333fffff,-34.15547867716925,150.60980151341818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3221.585747544861,0.0,0.0,0.0,nothing,1.0,0.0,0,64.63513429577151
88be081339fffff,-34.16504099660377,150.62492817981573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996.0293048152898,0.0,0.0,0.0,nothing,0.0,11000.0,0,63.9701821982153
88be08133bfffff,-34.16387871052098,150.61403154179138,1.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,11.0,13.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,25916.03379974444,0.0,0.0,0.0,nothing,16.0,0.0,0,64.76616976253534
