h3_index,latitude,longitude,bike_amenities,car_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,needs_amenities,other_amenities,pet_amenity,public_transport,shops_amenities,social_amenities,study_amenity,water_amenities,work_amenity,parking_area,traffic_count,number_stations,highway,subway,voltage,has_charging_station,distance_to_center
88194e6dcdfffff,51.45581020889335,0.1294538473277919,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,9837.167905410904,21196.625,0.0,13.0,0.0,0.0,0,17.635019220410474
88194e6dd1fffff,51.430422317799675,0.15422084601687225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,275000.0,1,20.003521634838783
88194e6dd5fffff,51.43253273620508,0.14208387476125822,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10233.28399021097,0.0,2.0,2.0,0.0,132000.0,1,19.12810452283362
88194e6dd9fffff,51.43607064553515,0.16215142063410426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2762.180968887464,17214.333333333332,0.0,0.0,0.0,275000.0,0,20.351224226066652
88194e6ddbfffff,51.428310830021324,0.16635564009001466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.87892037670545
88194e6dddfffff,51.43818200320528,0.1500143802784054,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,10.0,0.0,10.0,3.0,1.0,0.0,0.0,0.0,52302.089633386655,23309.458333333332,2.0,10.0,0.0,275000.0,1,19.475182479274128
88194e6de1fffff,51.446616729754616,0.10144444846793209,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,14.0,10.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,8774.778135251547,0.0,0.0,1.0,0.0,0.0,0,15.970251292940347
88194e6de3fffff,51.43885756925505,0.10565990293970068,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,34750.972023887574,0.0,0.0,2.0,0.0,0.0,0,16.501835860455696
88194e6de5fffff,51.44872273239444,0.08929652544584589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,16583.291735166775,14186.375,0.0,9.0,0.0,0.0,0,15.093827621389012
88194e6de7fffff,51.440963704240254,0.09351422799910751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,6428.068336567961,638.0,0.0,0.0,0.0,0.0,0,15.626448550308114
88194e6de9fffff,51.45226854948814,0.10937569128695303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,22582.261833556542,17660.375,2.0,7.0,0.0,132000.0,1,16.3496034933835
88194e6debfffff,51.444509654922875,0.11359019596868462,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7965.569697954913,17395.166666666668,3.0,3.0,0.0,132000.0,1,16.846598651948423
88194e6dedfffff,51.454375492085695,0.09722769538619559,2.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,6249.8755884974735,1039.9166666666667,5.0,12.0,0.0,132000.0,1,15.474170511530112
88194e6e01fffff,51.508000689573315,0.2331199734476531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2410.4406370689985,0.0,4.0,0.0,0.0,33000.0,1,24.65584451828105
88194e6e05fffff,51.510121178963914,0.2209777713428155,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,12013.617858593547,15624.208333333334,5.0,5.0,0.0,33000.0,1,23.84329235936021
88194e6e07fffff,51.50236495948636,0.22517729650910412,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12921.550957567577,0.0,1.0,16.0,0.0,400000.0,1,24.050305628925912
88194e6e09fffff,51.51363521249823,0.2410636697976258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,25.2743935083095
88194e6e21fffff,51.50660299060078,0.20089083472998717,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,400000.0,1,22.414092341767823
88194e6e25fffff,51.50872040146848,0.18874432526079696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,21.602628981383415
88194e6e27fffff,51.50096417498575,0.19294930776203892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.3306956765495,1774.1818181818182,0.0,0.0,0.0,0.0,0,21.807133465955097
88194e6e29fffff,51.51224059910512,0.2088333823185949,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,9871.084353631251,1962.5,0.0,4.0,0.0,0.0,0,23.035274450428965
88194e6e2bfffff,51.50448450974189,0.2130351586464506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,70564.29166666667,7.0,1.0,0.0,400000.0,1,23.230142998886066
88194e6e2dfffff,51.514358949402215,0.19668680687561535,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,38860.05995676183,0.0,5.0,8.0,0.0,400000.0,1,22.232294238847736
