h3_index,bicycle_amenities,bike_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,other_amenities,pet_amenity,social_amenities,water_amenities,parking_area,traffic_count,сharger_number,highway,public_transport,railway,subway,voltage,distance_class,car_amenities,needs_amenities,shops_amenities,work_amenity,has_charging_station,usage_type,study_amenity,latitude,longitude,distance_to_center
88194ad2bbfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,358,0.0,0.0,0.0,0.0,0,nothing,0.0,51.422541226835634,0.03750643615833316,16983.934912782184
88194ad2bdfffff,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,350934.43451832584,977800.2798611111,0.0,44.0,19.0,1.0,0.0,0.0,371,1.0,20.0,4.0,0.0,0,nothing,0.0,51.43240007048064,0.021126306316042186,16984.391983630838
88194ad2c1fffff,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,6188.653014361542,2522704.1055555553,1.0,25.0,10.0,0.0,0.0,0.0,282,0.0,3.0,8.0,1.0,1,Public use,0.0,51.46279267909344,0.0486140942237129,16981.070247840962
88194ad2c3fffff,0.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,90.0,1.0,8.0,0.0,1329078.2829513564,10698518.166666666,0.0,46.0,12.0,1.0,0.0,0.0,286,2.0,43.0,12.0,1.0,0,nothing,0.0,51.45503445012272,0.052839844461107496,16981.236696629458
88194ad2c5fffff,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,503182.37873114814,8191673.361111111,0.0,17.0,8.0,0.0,0.0,0.0,298,1.0,5.0,3.0,0.0,0,nothing,0.0,51.46489425261688,0.0364552239954206,16981.6923858446
88194ad2c7fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,19001.559676206984,11082237.80138889,1.0,27.0,8.0,0.0,0.0,0.0,303,0.0,1.0,4.0,0.0,1,Public use,0.0,51.45713615812026,0.04068322442112884,16981.85901984154
88194ad2c9fffff,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,296.0,0.0,0.0,0.0,955242.5856954854,1471006.779671717,0.0,29.0,10.0,0.0,0.0,0.0,261,0.0,23.0,5.0,0.0,0,nothing,0.0,51.468447993992186,0.05654598900907449,16980.28154513312
88194ad2cbfffff,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,241.0,0.0,0.0,0.0,43154.763957461495,3073055.5555555555,0.0,24.0,7.0,0.0,0.0,0.0,265,0.0,3.0,6.0,0.0,0,nothing,0.0,51.46069003055868,0.06077079061139592,16980.44804784812
88194ad2cdfffff,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,1.0,0.0,159655.13817931805,2041225.0789141413,0.0,29.0,13.0,0.0,0.0,0.0,277,0.0,0.0,4.0,0.0,0,nothing,0.0,51.470550508164074,0.044387042112407946,16980.90355996805
88194ad2d1fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1173460.2790904054,623218.6666666666,0.0,2.0,4.0,0.0,0.0,0.0,274,0.0,17.0,3.0,0.0,0,nothing,0.0,51.445172905386904,0.06921649078137726,16980.78033609349
88194ad2d3fffff,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,52.0,0.0,4.0,0.0,941422.4828694451,2325742.0,0.0,12.0,10.0,1.0,0.0,0.0,278,3.0,1.0,7.0,0.0,0,nothing,0.0,51.437413744417846,0.07343739045909846,16980.946121481527
